probe binary: /home/frosty/angelX/.tmp/live-performance-20260911/matrices-deepseek/target/probe/release/deps/ssi_candidate_worker-9bc17c144118ca64

running 1 test
test ordering::probe::probe_family ... 
matrix	n	nnz	cur_s	cur_r	kahip_fast2_s	kahip_fast2_r	kahip_fast3_s	kahip_fast3_r	kahip_eco_s	kahip_eco_r	kahip_strong_s	kahip_strong_r	metis_s21_s	metis_s21_r	metis_s2_s	metis_s2_r	metis_imb10_s	metis_imb10_r	metis_imb05_s	metis_imb05_r	metis_sw100_s	metis_sw100_r	metis_sw400_s	metis_sw400_r	metis_dq_s	metis_dq_r	scotch_s2_s	scotch_s2_r
ex9_1_2	19	54	0.1552	0.9521	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
crudeoil_lee1_07	3670	19322	0.7105	0.7487	0.0154	1.7284	0.0154	1.8204	0.0335	3.7086	0.0360	2.6023	0.0087	2.4134	0.0090	2.5925	0.0078	2.1645	0.0077	2.4563	0.0097	2.2422	0.0077	2.2134	0.0090	2.7268	0.0138	3.3505
pooling_haverly1tp	31	96	0.1708	0.9527	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
waterund08	230	1290	0.2240	0.8534	0.0001	1.0000	0.0001	1.0000	0.0005	1.2242	0.0006	1.2242	0.0003	2.1830	0.0003	2.3025	0.0003	1.8195	0.0003	1.4383	0.0003	1.9940	0.0001	1.0000	0.0003	1.9940	0.0005	1.0907
kall_diffcircles_6	76	302	0.1525	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
chimera_mgw-c8-439-onc8-001	440	3040	0.4166	0.7522	0.0014	1.3544	0.0014	1.6368	0.0031	1.3840	0.0041	1.4295	0.0009	1.5180	0.0008	1.4734	0.0008	1.2611	0.0009	1.2885	0.0015	1.4322	0.0006	1.3435	0.0009	1.5220	0.0007	1.0000
waterund11	160	828	0.2833	0.7224	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0006	0.8672	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0003	0.9927	0.0000	1.0000	0.0000	1.0000	0.0003	1.1392
chp_shorttermplan2d	16364	52108	0.7200	0.5147	0.0513	2.2190	0.0515	1.9060	0.1677	2.2902	0.2003	2.1228	0.0290	2.8722	0.0290	2.2551	0.0286	2.5313	0.0282	2.9166	0.0363	2.9416	0.0297	3.3249	0.0302	2.8648	0.0414	1.5204
sporttournament18	156	886	0.3008	0.7754	0.0001	1.0000	0.0001	1.0000	0.0005	1.3308	0.0010	1.7781	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0001	1.0000	0.0003	1.0844	0.0001	1.0000	0.0001	0.9191	0.0003	1.0000
cvxnonsep_psig30	30	870	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
